Unit (week),Day,Tags,Date,Links,category,Name
6,4,,"Apr 29, 2021","https://ironhack.zoom.us/rec/share/KzS_gU-MRl0eIZovcZyovLRTmCOwbA0ZLzmRAxXA9Xzf1tdWD-fi4Qrvnu0YTMHl.HN1yy81O17Jcet85?startTime=1619687069000, https://ironhack.zoom.us/rec/share/KzS_gU-MRl0eIZovcZyovLRTmCOwbA0ZLzmRAxXA9Xzf1tdWD-fi4Qrvnu0YTMHl.HN1yy81O17Jcet85?startTime=1619697781000",lecture,
6,5,,"Apr 30, 2021","https://ironhack.zoom.us/rec/share/OWqPMfT6STL0ve-ZLFdoRmKck6jKByVdkJFtKlsAKxUJT_2IqdBGZ1NuSRNOllec.WZXcoQdKMBtVVl9w?startTime=1619772436000, https://ironhack.zoom.us/rec/share/OWqPMfT6STL0ve-ZLFdoRmKck6jKByVdkJFtKlsAKxUJT_2IqdBGZ1NuSRNOllec.WZXcoQdKMBtVVl9w?startTime=1619786494000",lecture,
7,1,"introduction, jupyter notebook","May 3, 2021",https://ironhack.zoom.us/rec/share/O2a9zBEOYffsq9ESLErK11Vc7kIjYDheTdFf-SubLz8BTYCwHt4btIpMvvGCHmOQ.bI1-J9dHynE8UXSa?startTime=1620028953000,lecture,
7,1,"dataframes, introduction, jupyter notebook","May 3, 2021",https://ironhack.zoom.us/rec/share/O2a9zBEOYffsq9ESLErK11Vc7kIjYDheTdFf-SubLz8BTYCwHt4btIpMvvGCHmOQ.bI1-J9dHynE8UXSa?startTime=1620043094000,lecture,
7,2,"GNOD, jupyter notebook, web scraping","May 4, 2021",https://ironhack.zoom.us/rec/share/0xp7j9iYhGS719pF9fK2p8r9XKVVmYn-XIJnnVBePWfywnXqWXysr6nnzm34sZGl.TtHvRPrQq-LZYLl1?startTime=1620113376000,lecture,
7,2,"APIs, GNOD, jupyter notebook","May 4, 2021",https://ironhack.zoom.us/rec/share/0xp7j9iYhGS719pF9fK2p8r9XKVVmYn-XIJnnVBePWfywnXqWXysr6nnzm34sZGl.TtHvRPrQq-LZYLl1?startTime=1620129905000,lecture,
7,3,"API wrapper, GNOD, Spotipy, jupyter notebook","May 5, 2021",https://ironhack.zoom.us/rec/share/IEBe8MSfJQlSxrUCF9A5UK_j5Bt2Ge_01z3-5v1WPtauA2s9r0opR33z7BjMNRh9.L0YzQiEvK0maugHL?startTime=1620204830000,lecture,
7,3,"API wrapper, GNOD, Spotipy, jupyter notebook","May 5, 2021",https://ironhack.zoom.us/rec/share/IEBe8MSfJQlSxrUCF9A5UK_j5Bt2Ge_01z3-5v1WPtauA2s9r0opR33z7BjMNRh9.L0YzQiEvK0maugHL?startTime=1620217716000,lecture,
7,4,"GNOD, K means clustering, Unsupervised Learning, sklearn","May 6, 2021",https://ironhack.zoom.us/rec/share/b9FMsv8gdeyEXC_QC3aDmniAbI8vGm66zX-uglcYgNjy-fXg7mkt3ypaE-E3nPSR.jKGIbExLw3VgD039?startTime=1620285749000,lecture,
7,5,"GNOD, presentations","May 7, 2021",https://ironhack.zoom.us/rec/share/m2BMpAAkZmoJsNhAvOGnJElZH0QfcOszs4BMPoK6ypljx95PkgGySdYIrdswFis.5gD20Ctbvkwrt07K?startTime=1620389324000,project presentations,also includes project kickoff 2:17—
8,1,"NLP, data cleaning, dataframes, jupyter notebook, pandas, textblob","May 10, 2021",https://ironhack.zoom.us/rec/share/mIAD00iBzrDm-ckOKVoqHSQYDPU1mBVPNzAsJiSV0p4ulRgr_Ko571qwITRwbei1.qqwVfVfCW3sBj3C5?startTime=1620631797000,lecture,
8,1,project management,"May 10, 2021",https://ironhack.zoom.us/rec/share/mIAD00iBzrDm-ckOKVoqHSQYDPU1mBVPNzAsJiSV0p4ulRgr_Ko571qwITRwbei1.qqwVfVfCW3sBj3C5?startTime=1620659689000,guest talk,
8,2,"computer vision, gradient descent, keras, mnist, neural networks, tensorflow","May 11, 2021",https://ironhack.zoom.us/rec/play/reIvkzOhUNOW0FN4iYy4h4x9tQFPqrTPY9Rk7VkTd_N0eTnxENeo4fB-PJ3_obP3uEKcY3MBVp7OjSRM.b1pZy37GOrexdyEk?startTime=1620739779000,lecture,
8,2,"NLP, Object oriented programming in Python","May 11, 2021",https://ironhack.zoom.us/rec/share/yw-Cf9BXfm1gJ559gnfyjyH-5otNNuZl9pycHJ3EqdAF9kciehgBiNqq80YluitE.p88PPWd0HvOtFmwK?startTime=1620718675000,lecture,includes first part of Sian's lecture and Flo's OOP workshop
8,3,"job hunt, pepe, planetly, product management","May 12, 2021",https://ironhack.zoom.us/rec/play/vLp9fiS4lCzIjuuJn6u1SFQ2RVFtEsbrO-g6RKQklZo35-MvDFDzKmQVv49pxWmkNjFnCUAZjNL98RCb.yHKLsKCMnPbB8oz0?startTime=1620821059000,guest talk,
8,3,"bagging, decision trees, random forest, stacking, tableau, tips on getting hired","May 12, 2021",https://ironhack.zoom.us/rec/play/gF6pDUkocWVAe2hEJ6tZMu3xksU8cqDvruPNNEAx7eJ3Nsu7Ujb8kMXM6-Lbjgl9MwhQo70Zt59jJiGu.5vsQyHqaOf7TNHcq?startTime=1620805133000,lecture,
8,4,Intro to SQL,"May 13, 2021",https://ironhack.zoom.us/rec/share/lCp_4zZ89TTDfCiL7PuQ6R_DZ-ZljhRypyesRSVNtm5EZB9ef9VvaBozYsl2Wnrp.UQGeTTv0HQa_C55g?startTime=1620912448000,lecture,
8,5,"Adam Cassar, Insights into the data field, data driven culture, senior data scientist","May 14, 2021",https://ironhack.zoom.us/rec/play/ZtxpSh3HG0sLe8tO7XSCQkfVlCgCC6c6FEk1QMsw7KktjbJkIQ4ZJ9jqi_sW-kt3IxToJboTiFOdiB--.IezcC9ha8k2nrnMa?startTime=1620982946000,guest talk,
